time;P_pv_[kW]
2021-11-04 04:30:00+00:00;0.00177
2021-11-04 04:45:00+00:00;0.0016025
2021-11-04 05:00:00+00:00;0.0011725
2021-11-04 05:15:00+00:00;0.0008725
2021-11-04 05:30:00+00:00;0.0005725
2021-11-04 05:45:00+00:00;0.0005725
2021-11-04 06:00:00+00:00;0.00086
2021-11-04 06:15:00+00:00;0.00086
2021-11-04 06:30:00+00:00;0.003245
2021-11-04 06:45:00+00:00;0.00541
2021-11-04 07:00:00+00:00;0.0088725
2021-11-04 07:15:00+00:00;0.015365
2021-11-04 07:30:00+00:00;0.0253175
2021-11-04 07:45:00+00:00;0.032675
2021-11-04 08:00:00+00:00;0.03181
2021-11-04 08:15:00+00:00;0.03354
2021-11-04 08:30:00+00:00;0.0268325
2021-11-04 08:45:00+00:00;0.024235
2021-11-04 09:00:00+00:00;0.033795
2021-11-04 09:15:00+00:00;0.04665
2021-11-04 09:30:00+00:00;0.0658375
2021-11-04 09:45:00+00:00;0.0631825
2021-11-04 10:00:00+00:00;0.082355
2021-11-04 10:15:00+00:00;0.115765
2021-11-04 10:30:00+00:00;0.1317775
2021-11-04 10:45:00+00:00;0.1305975
2021-11-04 11:00:00+00:00;0.0809925
2021-11-04 11:15:00+00:00;0.06459
2021-11-04 11:30:00+00:00;0.040425
2021-11-04 11:45:00+00:00;0.036845
2021-11-04 12:00:00+00:00;0.064785
2021-11-04 12:15:00+00:00;0.0942625
2021-11-04 12:30:00+00:00;0.0779875
2021-11-04 12:45:00+00:00;0.039915
2021-11-04 13:00:00+00:00;0.0475925
2021-11-04 13:15:00+00:00;0.0500475
2021-11-04 13:30:00+00:00;0.147995
2021-11-04 13:45:00+00:00;0.17133
2021-11-04 14:00:00+00:00;0.0184225
2021-11-04 14:15:00+00:00;0.07369
2021-11-04 14:30:00+00:00;0.06325
2021-11-04 14:45:00+00:00;0.0178075
2021-11-04 15:00:00+00:00;0.0175025
2021-11-04 15:15:00+00:00;0.0267125
2021-11-04 15:30:00+00:00;0.0230275
2021-11-04 15:45:00+00:00;0.008905
2021-11-04 16:00:00+00:00;0.0033775
2021-11-04 16:15:00+00:00;0.000045
2021-11-04 16:30:00+00:00;0.00004
2021-11-04 16:45:00+00:00;0.00003
2021-11-04 17:00:00+00:00;0.0002275
2021-11-04 17:15:00+00:00;0.000565
2021-11-04 17:30:00+00:00;0.0009175
2021-11-04 17:45:00+00:00;0.0014125
2021-11-04 18:00:00+00:00;0.0010575
2021-11-04 18:15:00+00:00;0.0011425
2021-11-04 18:30:00+00:00;0.0008075
2021-11-04 18:45:00+00:00;0.0012675
2021-11-04 19:00:00+00:00;0.001515
2021-11-04 19:15:00+00:00;0.0019475
2021-11-04 19:30:00+00:00;0.001565
2021-11-04 19:45:00+00:00;0.0016125
2021-11-04 20:00:00+00:00;0.0014225
2021-11-04 20:15:00+00:00;0.0014575
2021-11-04 20:30:00+00:00;0.002235
2021-11-04 20:45:00+00:00;0.0017725
2021-11-04 21:00:00+00:00;0.0015475
2021-11-04 21:15:00+00:00;0.001575
2021-11-04 21:30:00+00:00;0.002135
2021-11-04 21:45:00+00:00;0.001625
2021-11-04 22:00:00+00:00;0.00165
2021-11-04 22:15:00+00:00;0.0016725
2021-11-04 22:30:00+00:00;0.001695
2021-11-04 22:45:00+00:00;0.0017175
2021-11-04 23:00:00+00:00;0.00232
2021-11-04 23:15:00+00:00;0.0017625
2021-11-04 23:30:00+00:00;0.001785
2021-11-04 23:45:00+00:00;0.0018075
2021-11-05 00:00:00+00:00;0.00183
2021-11-05 00:15:00+00:00;0.0018425
2021-11-05 00:30:00+00:00;0.0018425
2021-11-05 00:45:00+00:00;0.0018425
2021-11-05 01:00:00+00:00;0.0018425
2021-11-05 01:15:00+00:00;0.0018425
2021-11-05 01:30:00+00:00;0.0018425
2021-11-05 01:45:00+00:00;0.0018425
