time;P_infl_load_[kW]
2021-11-03 11:15:00+00:00;39.436
2021-11-03 11:30:00+00:00;38.112
2021-11-03 11:45:00+00:00;38.64
2021-11-03 12:00:00+00:00;40.452
2021-11-03 12:15:00+00:00;47.196
2021-11-03 12:30:00+00:00;49.128
2021-11-03 12:45:00+00:00;41.072
2021-11-03 13:00:00+00:00;36.5
2021-11-03 13:15:00+00:00;38.728
2021-11-03 13:30:00+00:00;38.732
2021-11-03 13:45:00+00:00;37.168
2021-11-03 14:00:00+00:00;31.74
2021-11-03 14:15:00+00:00;29.732
2021-11-03 14:30:00+00:00;33.856
2021-11-03 14:45:00+00:00;39.208
2021-11-03 15:00:00+00:00;36.896
2021-11-03 15:15:00+00:00;36.02
2021-11-03 15:30:00+00:00;36.304
2021-11-03 15:45:00+00:00;39.796
2021-11-03 16:00:00+00:00;40.484
2021-11-03 16:15:00+00:00;47.764
2021-11-03 16:30:00+00:00;54.204
2021-11-03 16:45:00+00:00;55.196
2021-11-03 17:00:00+00:00;55.336
2021-11-03 17:15:00+00:00;61.712
2021-11-03 17:30:00+00:00;56.728
2021-11-03 17:45:00+00:00;53.752
2021-11-03 18:00:00+00:00;45.744
2021-11-03 18:15:00+00:00;50.028
2021-11-03 18:30:00+00:00;50.212
2021-11-03 18:45:00+00:00;48.148
2021-11-03 19:00:00+00:00;49.116
2021-11-03 19:15:00+00:00;43.464
2021-11-03 19:30:00+00:00;46.364
2021-11-03 19:45:00+00:00;48.668
2021-11-03 20:00:00+00:00;50.752
2021-11-03 20:15:00+00:00;47.812
2021-11-03 20:30:00+00:00;58.06
2021-11-03 20:45:00+00:00;52.412
2021-11-03 21:00:00+00:00;42.024
2021-11-03 21:15:00+00:00;37.724
2021-11-03 21:30:00+00:00;40.56
2021-11-03 21:45:00+00:00;38.456
2021-11-03 22:00:00+00:00;36.028
2021-11-03 22:15:00+00:00;39.912
2021-11-03 22:30:00+00:00;38.256
2021-11-03 22:45:00+00:00;33.488
2021-11-03 23:00:00+00:00;28.16
2021-11-03 23:15:00+00:00;29.092
2021-11-03 23:30:00+00:00;28.924
2021-11-03 23:45:00+00:00;30.608
2021-11-04 00:00:00+00:00;28.704
2021-11-04 00:15:00+00:00;24.652
2021-11-04 00:30:00+00:00;31.252
2021-11-04 00:45:00+00:00;39.952
2021-11-04 01:00:00+00:00;41.512
2021-11-04 01:15:00+00:00;40.876
2021-11-04 01:30:00+00:00;39.784
2021-11-04 01:45:00+00:00;33.384
2021-11-04 02:00:00+00:00;22.16
2021-11-04 02:15:00+00:00;21.732
2021-11-04 02:30:00+00:00;20.892
2021-11-04 02:45:00+00:00;22.396
2021-11-04 03:00:00+00:00;23.236
2021-11-04 03:15:00+00:00;24.988
2021-11-04 03:30:00+00:00;23.916
2021-11-04 03:45:00+00:00;25.756
2021-11-04 04:00:00+00:00;29.244
2021-11-04 04:15:00+00:00;25.848
2021-11-04 04:30:00+00:00;25.872
2021-11-04 04:45:00+00:00;26.396
2021-11-04 05:00:00+00:00;25.656
2021-11-04 05:15:00+00:00;27.556
2021-11-04 05:30:00+00:00;32.904
2021-11-04 05:45:00+00:00;37.376
2021-11-04 06:00:00+00:00;40.808
